hid,atmosphere,cleanliness,facilities,location,security,staff,score
48,6.5,6.5,7.5,7.0,7.0,6.5,6.9
49,7.9,9.6,9.1,9.6,8.9,8.5,8.9
5,9.5,9.5,9.0,9.0,9.5,10.0,9.4
50,7.5,9.3,9.3,9.3,9.5,8.9,9.0
51,7.7,8.9,9.1,9.1,9.3,8.9,8.9
52,10.0,10.0,9.0,9.0,9.0,10.0,9.6
53,9.3,9.8,9.5,9.1,9.5,9.6,9.4
54,7.2,9.2,8.0,9.8,8.2,8.8,8.5
55,4.0,10.0,10.0,8.0,10.0,10.0,8.9
56,9.1,9.8,9.8,9.8,9.4,9.3,9.6
57,10.0,10.0,10.0,9.0,10.0,10.0,9.9
58,6.0,8.0,8.0,8.0,9.0,9.0,8.0
59,8.6,8.3,7.7,9.7,8.6,9.4,8.7
6,5.5,8.0,6.0,6.0,8.5,8.5,7.0
60,8.9,9.7,9.7,9.1,9.1,8.6,9.3
61,8.3,9.5,9.0,8.3,9.1,8.5,8.8
62,8.0,8.5,8.0,7.5,7.0,8.5,8.1
63,9.5,9.8,9.7,7.4,9.8,9.8,9.3
64,8.9,9.8,9.3,9.6,9.6,9.1,9.3
65,2.0,2.0,2.0,4.0,6.0,2.0,3.1
66,9.1,9.6,9.4,8.7,9.3,9.6,9.3
67,6.5,6.5,7.5,7.5,8.5,6.5,7.4
68,10.0,10.0,10.0,10.0,10.0,10.0,10.0
69,7.5,8.6,8.0,8.2,8.8,8.9,8.3
7,8.7,9.7,9.3,9.1,9.3,9.7,9.3
70,8.3,9.2,8.8,9.5,9.0,9.3,9.0
71,8.9,9.6,9.0,9.0,9.5,10.0,9.3
72,9.0,9.8,9.5,9.8,9.3,9.5,9.5
73,8.0,10.0,10.0,6.0,8.0,10.0,8.9
74,9.6,9.5,8.8,9.6,9.3,10.0,9.5
75,8.7,10.0,9.3,9.3,10.0,10.0,9.6
76,9.5,9.5,9.5,8.0,9.0,10.0,9.1
77,8.9,10.0,9.5,10.0,10.0,9.8,9.7
78,7.8,9.4,8.7,8.7,8.8,8.7,8.7
79,7.9,9.6,9.0,8.7,9.5,9.5,9.0
8,8.8,9.9,9.2,9.6,9.8,9.8,9.5
80,6.7,9.3,8.7,9.3,9.3,7.3,8.3
81,9.3,9.9,9.0,8.8,9.4,9.9,9.4
82,7.3,10.0,8.0,8.0,10.0,10.0,8.9
83,8.0,10.0,6.0,8.0,10.0,10.0,8.9
84,9.6,9.7,9.4,9.4,9.4,9.9,9.6
85,10.0,10.0,10.0,10.0,10.0,10.0,10.0
86,9.5,10.0,9.5,10.0,10.0,10.0,9.8
87,7.7,8.5,8.5,7.5,9.5,8.7,8.4
88,10.0,9.0,8.5,9.0,7.5,10.0,8.9
89,8.7,9.4,9.0,8.1,8.6,9.4,8.9
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,6.0,8.0,7.5,9.0,8.0,8.5,7.8
91,9.0,9.7,9.2,8.7,9.3,9.7,9.3
92,10.0,10.0,8.0,6.0,8.0,8.0,8.6
93,9.5,10.0,10.0,8.0,9.0,10.0,9.4
94,8.0,8.9,7.9,8.7,9.0,9.8,8.7
95,9.5,9.5,9.0,9.0,9.2,9.8,9.3
96,9.0,9.3,9.3,8.7,9.0,10.0,9.2
97,6.0,8.0,10.0,9.0,10.0,9.0,8.9
98,6.0,6.0,6.0,8.0,10.0,8.0,7.7
99,7.5,9.5,8.5,8.0,9.8,8.5,8.6
